ecosystem,namespace,name,version,repo_url,resolution_source
cargo,,aho-corasick,1.1.0,https://github.com/BurntSushi/aho-corasick,deps_dev
cargo,,aho-corasick,1.1.1,https://github.com/BurntSushi/aho-corasick,deps_dev
cargo,,aho-corasick,1.1.2,https://github.com/BurntSushi/aho-corasick,deps_dev
cargo,,aho-corasick,1.1.3,https://github.com/BurntSushi/aho-corasick,deps_dev
cargo,,aho-corasick,1.1.4,https://github.com/BurntSushi/aho-corasick,deps_dev
cargo,,aliasable,0.1.3,https://github.com/avitex/rust-aliasable,deps_dev
cargo,,aligned-vec,0.5.0,https://github.com/sarah-ek/aligned-vec/,deps_dev
cargo,,allo-isolate,0.1.27,https://github.com/sunshine-protocol/allo-isolate,deps_dev
cargo,,alloc-no-stdlib,2.0.4,https://github.com/dropbox/rust-alloc-no-stdlib,deps_dev
cargo,,alloc-stdlib,0.2.2,https://github.com/dropbox/rust-alloc-no-stdlib,deps_dev
cargo,,allocator-api2,0.2.16,https://github.com/zakarumych/allocator-api2,deps_dev
cargo,,allocator-api2,0.2.18,https://github.com/zakarumych/allocator-api2,deps_dev
cargo,,allocator-api2,0.2.21,https://github.com/zakarumych/allocator-api2,deps_dev
cargo,,allocator-api2,0.2.999,https://github.com/zakarumych/allocator-api2,deps_dev
cargo,,alloy,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-chains,0.2.14,https://github.com/alloy-rs/chains,deps_dev
cargo,,alloy-consensus,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-consensus-any,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-contract,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-core,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-dyn-abi,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-eip2124,0.2.0,https://github.com/alloy-rs/eips,deps_dev
cargo,,alloy-eip2930,0.2.1,https://github.com/alloy-rs/eips,deps_dev
cargo,,alloy-eip7702,0.6.1,https://github.com/alloy-rs/eips,deps_dev
cargo,,alloy-eips,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-genesis,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-json-abi,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-json-rpc,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-network,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-network-primitives,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-primitives,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-provider,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-rlp,0.3.12,https://github.com/alloy-rs/rlp,deps_dev
cargo,,alloy-rlp-derive,0.3.12,https://github.com/alloy-rs/rlp,deps_dev
cargo,,alloy-rpc-client,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-rpc-types,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-rpc-types-any,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-rpc-types-eth,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-serde,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-signer,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-signer-local,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-sol-macro,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-sol-macro-expander,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-sol-macro-input,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-sol-type-parser,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-sol-types,1.4.1,https://github.com/alloy-rs/core,deps_dev
cargo,,alloy-transport,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-transport-http,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,alloy-trie,0.9.1,https://github.com/alloy-rs/trie,deps_dev
cargo,,alloy-tx-macros,1.0.38,https://github.com/alloy-rs/alloy,deps_dev
cargo,,allsorts,0.14.1,https://github.com/yeslogic/allsorts,deps_dev
cargo,,alsa,0.8.1,https://github.com/diwic/alsa-rs,deps_dev
cargo,,alsa-sys,0.3.1,https://github.com/diwic/alsa-sys,deps_dev
cargo,,ambient-authority,0.0.2,https://github.com/sunfishcode/ambient-authority,deps_dev
cargo,,andrew,0.3.1,https://github.com/Smithay/andrew,deps_dev
cargo,,android-activity,0.5.2,https://github.com/rust-mobile/android-activity,deps_dev
cargo,,android-properties,0.2.2,https://github.com/miklelappo/android-properties,deps_dev
cargo,,android-tzdata,0.1.1,https://github.com/RumovZ/android-tzdata,deps_dev
cargo,,android_log-sys,0.2.0,https://github.com/rust-mobile/android_log-sys-rs,deps_dev
cargo,,android_log-sys,0.3.2,https://github.com/rust-mobile/android_log-sys-rs,deps_dev
cargo,,android_logger,0.12.0,https://github.com/rust-mobile/android_logger-rs,deps_dev
cargo,,android_logger,0.15.1,https://github.com/rust-mobile/android_logger-rs,deps_dev
cargo,,android_system_properties,0.1.5,https://github.com/nical/android_system_properties,deps_dev
cargo,,anes,0.1.6,https://github.com/qwandor/anes-rs,deps_dev
cargo,,ansi-str,0.5.0,https://github.com/zhiburt/ansi-str,deps_dev
cargo,,ansi_term,0.11.0,https://github.com/ogham/rust-ansi-term,deps_dev
cargo,,ansi_term,0.12.1,https://github.com/ogham/rust-ansi-term,deps_dev
cargo,,ansitok,0.2.0,https://gitlab.com/zhiburt/ansitok,deps_dev
cargo,,anstream,0.5.0,https://github.com/rust-cli/anstyle,deps_dev
cargo,,anstream,0.6.11,https://github.com/rust-cli/anstyle,deps_dev
cargo,,anstream,0.6.13,https://github.com/rust-cli/anstyle,deps_dev
